combine w/,team table,,,,OLDentryid,entryid,Year,orgid,Class,Team,Place,buggyid,Prelim,Reroll,Final,Fin Reroll,DQ,Note,PreDriver,PreH1,PreH2,PreH3,PreH4,PreH5,RRDriver,RRH1,RRH2,RRH3,RRH4,RRH5,FinDriver,FinH1,FinH2,FinH3,FinH4,FinH5,FinRRDriver,FinRRH1,FinRRH2,FinRRH3,FinRRH4,FinRRH5
redo,entryid,,,,,1920.TGP.MA,1920,TGP,M,A,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redo,entryid,,,,,1921.GME.MA,1921,GME,M,A,2,0,282,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rename,abcd,team,,,778,1921.ISD.MA,1921,ISD,M,A,1,0,278,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
removed,compubookieplace,,,,,1921.XSU.MA,1921,XSU,M,A,3,0,304,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rename,raceyearid,Year,,,,1922.DM.MA,1922,DM,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redo,raceclassid,Class,,,1695,1922.PKA.MA,1922,PKA,M,A,1,0,270,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redo,orgid,,,,777,1922.SAE.MA,1922,SAE,M,A,1,0,270,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
redo,entryid,combine w/,urlkey,,,1923.DX.MA,1923,DX,M,A,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,776,1923.KS.MA,1923,KS,M,A,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1923.SAE.MA,1923,SAE,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
todo,,,,,,1923.TX.MA,1923,TX,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notes containing ""?"" or ""verify"" need research",,,,,,1924.DTD.MA,1924,DTD,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allow for ties! Grab list, sort by place then time",,,,,775,1924.KS.MA,1924,KS,M,A,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOUBLE CHECK REROLLS vs ORIGINAL - SOME WERE SWAPPED (PIKA MA 2010),,,,,,1924.SAE.MA,1924,SAE,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUGS DUE TO DUPED ""PLACE"" in a year - see SDC 2010",,,,,,1925.DTD.MA,1925,DTD,M,A,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Many non-DQs marked as DQs (mostly stops, spins, etc)",,,,,774,1925.KS.MA,1925,KS,M,A,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to handle rerolls?,,,,,,1925.SAE.MA,1925,SAE,M,A,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1926.DTD.MA,1926,DTD,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,1926.KS.MA,1926,KS,M,A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
